row_index,question,ground_truth,vbpl_extracted,vbpl_count,bucket,split
43,Ngân hàng TMCP Sài Gòn (SCB) nghỉ lễ 30/4 và 01/5 năm 2025 như thế nào theo quy định của cơ quan nhà nước?,"Lịch nghỉ lễ 30 4 1 5 năm 2025 ngân hàng SCB?Căn cứ theo Thông báo 6150/TB-BLĐTBXH năm 2024 hướng dẫn lịch nghỉ lễ 30 4 năm 2025 như sau:Thực hiện ý kiến chỉ đạo của Thủ tướng Phạm Minh Chính tại Công văn số 8726/VPCP-KGVX ngày 26 tháng 11 năm 2024 của Văn phòng Chính phủ về việc nghỉ tết Âm lịch và một số dịp nghỉ lễ trong năm 2025, Bộ Lao động - Thương binh và Xã hội thông báo để các cơ quan hành chính, sự nghiệp, tổ chức chính trị, tổ chức chính trị - xã hội, doanh nghiệp và những người sử dụng lao động khác thực hiện lịch nghỉ tết Âm lịch, nghỉ lễ Quốc khánh, nghỉ lễ ngày Chiến thắng 30/4 và ngày Quốc tế lao động 01/5 năm 2025 như sau:[...]3. Công chức, viên chức được hoán đổi ngày làm việc từ thứ Sáu ngày 02/5/2025 sang thứ Bảy ngày 26/4/2025. Như vậy, dịp nghỉ lễ ngày Chiến thắng 30/4 và ngày Quốc tế lao động 01/5 năm 2025 công chức, viên chức được nghỉ 05 ngày liên tục từ thứ Tư ngày 30/4/2025 đến hết Chủ nhật ngày 04/5/2025 (làm bù vào thứ Bảy ngày 26/4/2025).4. Các cơ quan, đơn vị thực hiện lịch nghỉ tết Âm lịch, nghỉ lễ Quốc khánh, nghỉ lễ ngày Chiến thắng 30/4 và ngày Quốc tế lao động 01/5 năm 2025 lưu ý thực hiện: bố trí, sắp xếp các bộ phận ứng trực theo quy định và làm việc hợp lý để giải quyết công việc liên tục, bảo đảm tốt công tác phục vụ tổ chức, Nhân dân, trong đó lưu ý cử cán bộ, công chức ứng trực xử lý những công việc đột xuất, bất ngờ có thể xảy ra trong thời gian nghỉ Tết, nghỉ lễ theo quy định.[...]7. Đối với người lao động không thuộc đối tượng quy định tại khoản 1 Thông báo này, người sử dụng lao động quyết định lựa chọn phương án nghỉ tết Âm lịch, nghỉ lễ Quốc khánh, nghỉ lễ ngày Chiến thắng 30/4 và ngày Quốc tế lao động 01/5 năm 2025 như sau:- Đối với dịp nghỉ tết Âm lịch: lựa chọn 01 ngày cuối năm Giáp Thìn và 04 ngày đầu năm Ất Tỵ hoặc 02 ngày cuối năm Giáp Thìn và 03 ngày đầu năm Ất Tỵ hoặc 03 ngày cuối năm Giáp Thìn và 02 ngày đầu năm Ất Tỵ.- Đối với dịp nghỉ lễ Quốc khánh: thứ Ba ngày 02/9/2025 Dương lịch và lựa chọn 01 trong 02 ngày: thứ Hai ngày 01/9/2025 hoặc thứ Tư ngày 03/9/2025 Dương lịch.- Thông báo phương án nghỉ tết Âm lịch và nghỉ lễ Quốc khánh năm 2025 cho người lao động trước khi thực hiện ít nhất 30 ngày.- Nếu ngày nghỉ hằng tuần trùng với ngày nghỉ lễ, tết quy định tại khoản 1 Điều 112 của Bộ luật Lao động thì người lao động được nghỉ bù ngày nghỉ hằng tuần vào ngày làm việc kế tiếp theo quy định tại khoản 3 Điều 111 Bộ luật Lao động.- Khuyến khích người sử dụng lao động áp dụng thời gian nghỉ tết Âm lịch, nghỉ lễ Quốc khánh, nghỉ lễ ngày Chiến thắng 30/4 và ngày Quốc tế lao động 01/5 năm 2025 cho người lao động như quy định đối với công chức, viên chức.[...]Thực hiện theo Thông báo 6150/TB-BLĐTBXH năm 2024, lịch nghỉ lễ 30 4 1 5 năm 2025 ngân hàng SCB (Ngân hàng TMCP Sài Gòn) cũng áp dụng lịch nghỉ lễ 30 4 1 5 năm 2025 có hoán đổi ngày làm việc theo quy định của Nhà nước như sau:- Thời gian nghỉ giao dịch: 5 ngày (từ thứ 4, ngày 30/4/2025 đến hết Chủ nhật, ngày 4/5/2025).- Thời gian giao dịch trở lại: Thứ 2, ngày 5/5/2025.- Thời gian giao dịch bù: Thứ 7, ngày 26/4/2025.Trong thời gian nghỉ lễ, các giao dịch qua Thẻ, ATM, POS, Mobile Banking, Internet Banking ngân hàng SCB vẫn hoạt động bình thường.* Trên đây là nội dung Lịch nghỉ lễ 30 4 1 5 năm 2025 ngân hàng SCB?Xem thêm: Đi làm lễ 30 4 được nhận lương gấp 4 lần? Đi làm lễ 30 4 nhận lương bao nhiêu?Lịch nghỉ lễ 30 4 1 5 năm 2025 ngân hàng SCB? (Hình từ Internet)",6150/TB-BLĐTBXH,1,answerable,evaluate
68,"Công điện số 04 năm 2025 của Kho bạc Nhà nước quy định những yêu cầu, trách nhiệm và cách thức triển khai việc sắp xếp, tổ chức lại hệ thống KBNN để phục vụ chế độ tổ chức chính quyền địa phương 2 cấp ra sao?","Ngày 30/6/2025, Giám đốc Kho bạc Nhà nước ban hành Công điện 04/CĐ-KBNN năm 2025 về việc sắp xếp, tổ chức lại hệ thống Kho bạc Nhà nước và phục vụ tổ chức chính quyền địa phương 2 cấp với quan điểm chung như sau:
- Đợt bàn giao, chuyển đổi hệ thống lần này là nhiệm vụ rất quan trọng, cấp bách, vì vậy, đề nghị các đồng chí Giám đốc KBNN các khu vực và Thủ trưởng các đơn vị thuộc cơ quan KBNN hiểu rõ ý nghĩa, nâng cao trách nhiệm, bao quát hết các công việc được giao, sát sao, quyết liệt trong chỉ đạo, điều hành và tăng cường phổ biến, quán triệt đến công chức và người lao động trong đơn vị để việc bàn giao, chuyển đổi hệ thống thành công, đảm bảo từ 01/7/2025 hoạt động an toàn, ổn định và thông suốt; tuyệt đối không được để xảy ra gián đoạn, không ảnh hưởng đến hoạt động của các cá nhân, doanh nghiệp, đơn vị sử dụng ngân sách có giao dịch với KBNN; ưu tiên giải quyết công việc, thủ tục hành chính cho các cấp chính quyền địa phương, các đơn vị có giao dịch với KBNN.
- Giám đốc KBNN các khu vực chịu trách nhiệm về kết quả thực hiện nhiệm vụ trên địa bàn được giao quản lý; Thủ trưởng các đơn vị thuộc cơ quan KBNN chịu trách nhiệm về kết quả hướng dẫn, hỗ trợ bàn giao, chuyển đổi đối với lĩnh vực được giao phụ trách trước Ban Lãnh đạo KBNN.",04/CĐ-KBNN,1,answerable,evaluate
94,Quy trình các bước và thời hạn xử lý hồ sơ khi một tổ chức tài chính vi mô đề nghị thành lập chi nhánh hoặc phòng giao dịch được thực hiện ra sao theo quy định hiện hành?,"Trình tự thực hiện thủ tục thành lập chi nhánh, phòng giao dịch của tổ chức tài chính vi mô được quy định tại tiểu mục 1 Mục A Phần II thủ tục hành chính ban hành kèm theo Quyết định 3031/QĐ-NHNN năm 2025. Cụ thể:
- Bước 1. Tổ chức tài chính vi mô lập 01 bộ hồ sơ gửi Ngân hàng Nhà nước.
- Bước 2. Trong thời hạn 07 ngày làm việc kể từ ngày nhận được hồ sơ quy định, Ngân hàng Nhà nước có văn bản gửi tổ chức tài chính vi mô xác nhận đủ hồ sơ hợp lệ. Trường hợp hồ sơ chưa đầy đủ và hợp lệ, Ngân hàng Nhà nước có văn bản yêu cầu tổ chức tài chính vi mô bổ sung, hoàn thiện hồ sơ. Tổ chức tài chính vi mô bổ sung, hoàn thiện hồ sơ trong thời hạn tối đa 60 ngày kể từ ngày Ngân hàng Nhà nước có văn bản yêu cầu bổ sung, hoàn thiện hồ sơ. Quá thời hạn này mà không bổ sung, hoàn thiện hồ sơ đầy đủ và hợp lệ, tổ chức tài chính vi mô phải gửi lại hồ sơ theo quy định để Ngân hàng Nhà nước xem xét, chấp thuận.
- Bước 3.
  - Đối với đề nghị chấp thuận thành lập chi nhánh: Trong thời hạn 07 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ, Ngân hàng Nhà nước có văn bản gửi lấy ý kiến của Ủy ban nhân dân tỉnh, thành phố trực thuộc Trung ương (Ủy ban nhân dân cấp tỉnh), Ngân hàng Nhà nước chi nhánh Khu vực nơi tổ chức tài chính vi mô dự kiến đặt trụ sở chi nhánh có ý kiến về sự cần thiết thành lập hoặc thành lập thêm chi nhánh của tổ chức tài chính vi mô trên địa bàn.
  - Đối với đề nghị chấp thuận thành lập phòng giao dịch: Trong thời hạn 07 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ, Cục Quản lý, giám sát tổ chức tín dụng có văn bản lấy ý kiến Ngân hàng Nhà nước chi nhánh Khu vực nơi tổ chức tài chính vi mô dự kiến đặt trụ sở phòng giao dịch về:
    + Sự cần thiết thành lập hoặc thành lập thêm phòng giao dịch;
    + Các địa bàn dự kiến mở phòng giao dịch;
    + Việc đáp ứng các điều kiện theo quy định đối với chi nhánh dự kiến quản lý phòng giao dịch trên địa bàn.
- Bước 4. Trong thời hạn 10 ngày kể từ ngày nhận được văn bản của Ngân hàng Nhà nước, các đơn vị quy định có ý kiến tham gia bằng văn bản về các nội dung được đề nghị.
- Bước 5. Trong thời hạn 50 ngày (đối với trường hợp thành lập chi nhánh) hoặc 45 ngày (đối với trường hợp thành lập phòng giao dịch) kể từ ngày xác nhận đủ hồ sơ hợp lệ, Ngân hàng Nhà nước có văn bản chấp thuận đề nghị thành lập chi nhánh của tổ chức tài chính vi mô. Trường hợp không chấp thuận, Ngân hàng Nhà nước phải trả lời bằng văn bản và nêu rõ lý do.
Lưu ý: Quyết định 3031/QĐ-NHNN năm 2025, có hiệu lực từ ngày 15/09/2025.",3031/QĐ-NHNN,1,answerable,evaluate
125,"Người mở tài khoản thanh toán có buộc phải đến gặp trực tiếp cán bộ ngân hàng để xác minh khi làm thủ tục hay có thể kiểm tra, xác minh từ xa hoặc thông qua bên thứ ba trong mọi trường hợp?","Có bắt buộc đến trực tiếp ngân hàng để mở tài khoản thanh toán không?Tại khoản 2 Điều 15 Thông tư 17/2024/TT-NHNN được sửa đổi bởi khoản 1 Điều 5 Thông tư 25/2025/TT-NHNN có quy định về trình tự, thủ tục mở tài khoản thanh toán như sau:Điều 15. Trình tự, thủ tục mở tài khoản thanh toán[...]2. Ngân hàng, chi nhánh ngân hàng nước ngoài thực hiện kiểm tra tính hợp pháp, hợp lệ; đối chiếu đảm bảo sự khớp đúng, chính xác của các tài liệu, thông tin, dữ liệu mà khách hàng cung cấp; tiến hành xác minh thông tin nhận biết khách hàng theo quy định pháp luật về phòng, chống rửa tiền và các quy định sau:a) Đối với chủ tài khoản thanh toán là cá nhân:(i) Trường hợp chủ tài khoản hoặc người đại diện là cá nhân sử dụng thẻ căn cước hoặc căn cước điện tử hoặc thẻ căn cước công dân (có bộ phận lưu trữ thông tin) hoặc danh tính điện tử, ngân hàng, chi nhánh ngân hàng nước ngoài phải gặp mặt trực tiếp chủ tài khoản hoặc người đại diện của chủ tài khoản và thực hiện kiểm tra đối chiếu giấy tờ tùy thân, đối chiếu khớp đúng thông tin sinh trắc học của chủ tài khoản hoặc người đại diện của chủ tài khoản theo quy định tại điểm b khoản 1 Điều 16 Thông tư này;(ii) Trường hợp chủ tài khoản hoặc người đại diện là cá nhân sử dụng thẻ căn cước công dân (không có bộ phận lưu trữ thông tin) hoặc giấy khai sinh đối với người dưới 14 tuổi chưa có thẻ căn cước hoặc hộ chiếu, ngân hàng, chi nhánh ngân hàng nước ngoài phải gặp mặt trực tiếp chủ tài khoản hoặc người đại diện của chủ tài khoản và thực hiện kiểm tra, đối chiếu giấy tờ tùy thân, đối chiếu khớp đúng thông tin sinh trắc học của chủ tài khoản hoặc người đại diện của chủ tài khoản với thông tin sinh trắc học hiển thị trên giấy tờ tùy thân của người đó;[...]Như vậy, khi mở tài khoản thanh toán, ngân hàng phải xác minh gặp mặt trực tiếp chủ tài khoản hoặc người đại diện của chủ tài khoản, kiểm tra đối chiếu giấy tờ tùy thân và đối chiếu sinh trắc học.Trường hợp khách hàng đăng ký giao dịch trên phần mềm ứng dụng cung cấp dịch vụ trực tuyến trong ngành ngân hàng, ngân hàng phải kiểm tra thông tin về số điện thoại của chủ tài khoản hoặc người đại diện của chủ tài khoản (đối với khách hàng cá nhân), người đại diện hợp pháp của chủ tài khoản (đối với khách hàng tổ chức) đảm bảo thông tin về người sử dụng số thuê bao trùng khớp thông tin trên giấy tờ tùy thân của người đó.Cụ thể:*Đối với trường hợp chủ tài khoản là cá nhân: phải gặp mặt trực tiếpLưu ý: Chủ tài khoản là cá nhân người nước ngoài không có mặt tại Việt Nam, được thực hiện xác minh thông tin nhận biết khách hàng thông qua bên thứ ba hoặc thông qua việc thuê tổ chức khác.*Đối với chủ tài khoản thanh toán là tổ chức:- Trường hợp chủ tài khoản là tổ chức được thành lập và hoạt động tại Việt Nam (trừ trường hợp quy định tại điểm d khoản 2 Điều 15 Thông tư 17/2024/TT-NHNN được sửa đổi bởi khoản 1 Điều 5 Thông tư 25/2025/TT-NHNN), phải gặp mặt trực tiếp người đại diện hợp pháp của chủ tài khoản.- Trường hợp chủ tài khoản là pháp nhân nước ngoài (trừ trường hợp quy định tại điểm d khoản 2 Điều 15 Thông tư 17/2024/TT-NHNN được sửa đổi bởi khoản 1 Điều 5 Thông tư 25/2025/TT-NHNN), được thực hiện xác minh qua bên thứ ba hoặc thuê tổ chức khác nhưng phải đảm bảo bên thứ ba hoặc tổ chức khác gặp mặt trực tiếp người đại diện hợp pháp của chủ tài khoản.Lưu ý: Không cần gặp trực tiếp với các tổ chức sau:- Các cơ quan nhà nước, đơn vị sự nghiệp công lập;- Các tổ chức tín dụng, chi nhánh ngân hàng nước ngoài;- Các tổ chức niêm yết theo quy định tại Luật chứng khoán;- Các tổ chức thuộc danh sách Fortune Global 500 do Tạp chí Fortune công bố vào năm liền trước;- Các tổ chức khác do ngân hàng, chi nhánh ngân hàng nước ngoài lựa chọn và chịu hoàn toàn trách nhiệm về các rủi ro từ việc lựa chọn này. Danh mục các tổ chức do ngân hàng, chi nhánh ngân hàng nước ngoài lựa chọn phù hợp với tiêu chí được quy định tại quy định nội bộ về mở và sử dụng tài khoản thanh toán của đơn vị. Ngân hàng, chi nhánh ngân hàng nước ngoài phải đảm bảo xác minh chính xác về khách hàng mở tài khoản và chịu hoàn toàn trách nhiệm đối với việc nhận biết khách hàng mở tài khoản thanh toán tại đơn vị mình.",17/2024/TT-NHNN,1,answerable,evaluate
131,Muốn lấy mẫu đơn đề nghị chấp thuận việc tách quỹ tín dụng nhân dân theo quy định mới (Thông tư 10/2025/TT-NHNN) thì tải mẫu đó ở đâu?,"Căn cứ theo Phụ lục số 01 Mẫu đơn đề nghị chấp thuận chia, tách, sáp nhập, hợp nhất quỹ tín dụng nhân dân ban hành kèm theo Thông tư 10/2025/TT-NHNN (có hiệu lực thi hành từ 15/08/2025) quy định về đơn đề nghị chấp thuận tách quỹ tín dụng nhân dân như sau:
Dưới đây là Mẫu đơn đề nghị chấp thuận tách quỹ tín dụng nhân dân:
Tải về Mẫu đơn đề nghị chấp thuận tách quỹ tín dụng nhân dân:
Tại đây
Ghi chú:(*) Tên quỹ tín dụng nhân dân thực hiện tổ chức lại.

Trên đây là thông tin: Tải về mẫu đơn đề nghị chấp thuận tách quỹ tín dụng nhân dân theo Thông tư 10 mới nhất ở đâu?
Tải về mẫu đơn đề nghị chấp thuận tách quỹ tín dụng nhân dân theo Thông tư 10 mới nhất ở đâu? (Hình từ Internet)",10/2025/TT-NHNN,1,answerable,evaluate
145,Quy trình và các bước xử lý khi tổ chức muốn xin gia hạn thời hạn tham gia thử nghiệm có kiểm soát trong lĩnh vực ngân hàng được quy định ra sao?,"Căn cứ theo Điều 20 Nghị định 94/2025/NĐ-CP quy định về trình tự xử lý gia hạn thời gian thử nghiệm có kiểm soát trong lĩnh vực ngân hàng được thực hiện như sau:

(1) Tối thiểu 90 ngày trước khi kết thúc thời gian thử nghiệm, tổ chức tham gia Cơ chế thử nghiệm có nhu cầu gia hạn thời gian thử nghiệm thực hiện thủ tục gia hạn thời nghiệm.

(2) Trình tự xử lý- Tổ chức tham gia Cơ chế thử nghiệm có Đơn đề nghị gia hạn thời gian thử nghiệm theo Mẫu số 09 Phụ lục 1 kèm theo Nghị định 94/2025/NĐ-CP; báo cáo kết quả thử nghiệm theo Phụ lục 5 kèm theo Nghị định 94/2025/NĐ-CP gửi Ngân hàng Nhà nước.- Trong vòng 45 ngày làm việc kể từ ngày nhận được Đơn đề nghị gia hạn thời gian thử nghiệm và báo cáo đánh giá kết quả thử nghiệm, Ngân hàng Nhà nước tiến hành đánh giá toàn bộ quá trình thử nghiệm.- Trường hợp cần thiết, Ngân hàng Nhà nước có văn bản gửi lấy ý kiến tham gia góp ý của các bộ liên quan. Trong thời hạn 15 ngày làm việc kể từ ngày nhận được văn bản Ngân hàng Nhà nước đề nghị, các bộ liên quan gửi Ngân hàng Nhà nước văn bản tham gia ý kiến.- Trường hợp hồ sơ cần giải trình, làm rõ, Ngân hàng Nhà nước có văn bản yêu cầu tổ chức giải trình, hoàn thiện hồ sơ. + Tổ chức được phép gửi giải trình và hoàn thiện hồ sơ 01 lần. + Sau thời hạn 07 ngày làm việc kể từ ngày Ngân hàng Nhà nước có văn bản yêu cầu giải trình, hoàn thiện hồ sơ mà tổ chức không gửi lại văn bản giải trình, hoàn thiện hồ sơ thì Ngân hàng Nhà nước có văn bản trả lại hồ sơ cho tổ chức. + Thời gian giải trình, hoàn thiện hồ sơ không tính vào thời gian xử lý hồ sơ.- Căn cứ báo cáo kết quả thử nghiệm (trong đó bao gồm tính hữu ích của giải pháp), tình hình giám sát thực tế và ý kiến góp ý, nhận xét của các bộ liên quan (nếu có), Ngân hàng Nhà nước quyết định việc gia hạn thời gian thử nghiệm hoặc từ chối bằng văn bản và nêu rõ lý do.

(3) Thời gian mỗi lần gia hạn thời gian thử nghiệm không quá 01 năm và có thể được gia hạn không quá 02 lần.",94/2025/NĐ-CP,1,answerable,evaluate
146,Những mục tiêu cụ thể mà Cơ chế thử nghiệm có kiểm soát (sandbox) trong ngành ngân hàng phải đạt được theo quy định là gì?,"Căn cứ theo Điều 4 Nghị định 94/2025/NĐ-CP quy định về mục tiêu của Cơ chế thử nghiệm có kiểm soát trong lĩnh vực ngân hàng cần đáp ứng cụ thể như sau:

- Thúc đẩy đổi mới sáng tạo và hiện đại hóa lĩnh vực ngân hàng, qua đó hiện thực hóa mục tiêu phổ cập tài chính cho người dân và doanh nghiệp theo hướng minh bạch, thuận tiện, an toàn, hiệu quả với chi phí thấp.- Tạo lập môi trường thử nghiệm nhằm đánh giá rủi ro, chi phí, lợi ích của giải pháp Fintech; hỗ trợ xây dựng, phát triển các giải pháp Fintech phù hợp với nhu cầu thị trường, khung khổ pháp lý, quy định quản lý.- Hạn chế rủi ro xảy ra đối với khách hàng khi sử dụng các giải pháp Fintech do tổ chức tham gia Cơ chế thử nghiệm cung cấp.- Kết quả triển khai thử nghiệm giải pháp Fintech được sử dụng làm căn cứ thực tiễn để các cơ quan nhà nước có thẩm quyền nghiên cứu, xây dựng và hoàn thiện khung khổ pháp lý, quy định quản lý liên quan nếu cần thiết.",94/2025/NĐ-CP,1,answerable,evaluate
161,"Nội dung sửa đổi, bổ sung của Thông tư 25/2025/TT-NHNN đối với quy định mở và sử dụng tài khoản thanh toán trong Thông tư 17/2024/TT-NHNN là gì?","Ngày 31/8/2025, Ngân hàng nhà nước Việt Nam ban hành Thông tư 25/2025/TT-NHNN TẠI ĐÂY sửa đổi, bổ sung một số điều của Thông tư 17/2024/TT-NHNN quy định việc mở và sử dụng tài khoản thanh toán tại tổ chức cung ứng dịch vụ thanh toán.
Xem chi tiết Thông tư 25/2025/TT-NHNN sửa đổi, bổ sung Thông tư 17/2024/TT-NHNN về mở và sử dụng tài khoản thanh toán tại tổ chức cung ứng dịch vụ thanh toán TẠI ĐÂY
Trên đây là thông tin về Thông tư 25/2025/TT-NHNN sửa đổi, bổ sung Thông tư 17/2024/TT-NHNN về mở và sử dụng tài khoản thanh toán tại tổ chức cung ứng dịch vụ thanh toán thế nào?
Thông tư 25/2025/TT-NHNN sửa đổi, bổ sung Thông tư 17/2024/TT-NHNN về mở và sử dụng tài khoản thanh toán tại tổ chức cung ứng dịch vụ thanh toán thế nào? (Hình từ Internet)",25/2025/TT-NHNN,1,answerable,evaluate
189,Công văn số 9823/KBNN-QLTT ban hành năm 2025 của Kho bạc Nhà nước quy định như thế nào về việc điều chỉnh thời điểm áp dụng chuyển đổi mã ngân hàng 8 chữ số?,"Ngày 29/8/2025, Kho bạc Nhà nước ban hành Công văn 9823/KBNN-QLTT năm 2025 về việc thay đổi thời gian chuyển đổi mã ngân hàng 8 số như sau:

Tạm dừng việc thực hiện thay đổi mã Ngân hàng 8 số theo Công văn 9748/KBNN-QLTT ngày 26/8/2025 của KBNN về việc thay đổi mã ngân hàng của các chi nhánh NHTM nơi KBNN mở tài khoản. Việc thay đổi mã Ngân hàng 8 số sẽ được triển khai sau khi KBNN có thông báo mới.

Xem chi tiết Công văn 9823 KBNN QLTT 2025 về thay đổi thời gian chuyển đổi mã ngân hàng 8 số tại đây. Tải về.",9823/KBNN-QLTT,1,answerable,evaluate
191,"Các bước và hồ sơ cần thực hiện để được cấp mã ngân hàng (theo quy định hiện hành như Thông tư 17/2015 và các sửa đổi, bổ sung) gồm những nội dung cụ thể nào?","Theo Điều 9 Thông tư 17/2015/TT-NHNN sửa đổi bởi khoản 5 Điều 1 Thông tư 18/2023/TT-NHNN; sửa đổi bởi khoản 1 Điều 2 Thông tư 11/2025/TT-NHNN quy định trình tự, thủ tục cấp mã ngân hàng như sau:

[1] Đối với các đơn vị thuộc Ngân hàng Nhà nước, khi có nhu cầu cấp mã ngân hàng, đơn vị có văn bản đề nghị cấp mã ngân hàng theo Phụ lục số 01 ban hành kèm theo Thông tư này, gửi Cục Công nghệ thông tin qua Hệ thống Quản lý văn bản và điều hành của Ngân hàng Nhà nước.
[2] Đối với tổ chức tín dụng (trừ quỹ tín dụng nhân dân), chi nhánh ngân hàng nước ngoài, trong thời gian 10 ngày làm việc kể từ ngày tổ chức tín dụng, được cấp giấy phép thành lập và hoạt động (thành lập mới, sáp nhập, hợp nhất, chia, tách); chi nhánh ngân hàng nước ngoài được cấp giấy phép hoạt động, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài gửi 01 bộ hồ sơ đề nghị cấp mã ngân hàng qua dịch vụ bưu chính đến Ngân hàng Nhà nước hoặc nộp trực tiếp tại Bộ phận Một cửa của Ngân hàng Nhà nước, hồ sơ bao gồm:
- Văn bản đề nghị cấp mã ngân hàng theo Phụ lục số 01 ban hành kèm theo Thông tư này;
- Văn bản đề nghị cấp tài khoản dịch vụ công trực tuyến mã ngân hàng theo Phụ lục số 04 ban hành kèm theo Thông tư 17/2015/TT-NHNN.
[3] Đối với đơn vị phụ thuộc, ngân hàng 100% vốn ở nước ngoài của tổ chức tín dụng quy định tại khoản 2 Điều này, trong thời gian 10 ngày làm việc kể từ ngày có văn bản chấp thuận đủ điều kiện thành lập đơn vị phụ thuộc, ngân hàng 100% vốn ở nước ngoài của Ngân hàng Nhà nước, tổ chức tín dụng thực hiện lập đề nghị cấp mã ngân hàng trên Cổng Dịch vụ công Ngân hàng Nhà nước theo Phụ lục số 01 ban hành kèm theo Thông tư này.
[4] Đối với quỹ tín dụng nhân dân, trong thời gian 10 ngày làm việc kể từ ngày được cấp giấy phép thành lập và hoạt động, Ngân hàng Nhà nước chi nhánh tại khu vực nơi có trụ sở quỹ tín dụng nhân dân trên địa bàn thuộc phạm vi quản lý, thực hiện lập đề nghị cấp mã ngân hàng trên Cổng Dịch vụ công Ngân hàng Nhà nước theo Phụ lục số 01 ban hành kèm theo Thông tư 17/2015/TT-NHNN.
[5] Đối với Kho bạc Nhà nước tại trung ương và địa phương, khi có nhu cầu cấp mã ngân hàng, Kho bạc Nhà nước thực hiện lập đề nghị cấp mã ngân hàng trên Cổng Dịch vụ công Ngân hàng Nhà nước theo Phụ lục số 01 ban hành kèm theo Thông tư 17/2015/TT-NHNN.
[6] Đối với các tổ chức khác có hoạt động báo cáo, trao đổi dữ liệu điện tử liên quan đến Ngân hàng Nhà nước, khi có nhu cầu cấp mã ngân hàng, đơn vị gửi 01 bộ hồ sơ đề nghị cấp mã ngân hàng qua dịch vụ bưu chính đến Ngân hàng Nhà nước hoặc nộp trực tiếp tại Bộ phận Một cửa của Ngân hàng Nhà nước. Hồ sơ bao gồm các văn bản quy định tại điểm a, b khoản 2 Điều 9 Thông tư 17/2015/TT-NHNN.
[7] Khi nhận được đề nghị cấp mã ngân hàng, Cục Công nghệ thông tin tiến hành kiểm tra hồ sơ, phối hợp với các đơn vị của Ngân hàng Nhà nước (đối với đề nghị cấp mã ngân hàng của các đơn vị thuộc Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, các tổ chức khác có Giấy phép hoạt động do Ngân hàng Nhà nước cấp) hoặc truy cập vào hệ thống cơ sở dữ liệu Quốc gia về đăng ký hoạt động của doanh nghiệp (đối với các đề nghị cấp mã ngân hàng của tổ chức khác) để thực hiện đối chiếu tình trạng hoạt động, tính chính xác của thông tin theo quy định tại khoản 1 Điều 8 Thông tư 17/2015/TT-NHNN. Trong thời hạn 03 ngày làm việc kể từ ngày nhận được hồ sơ đề nghị hợp lệ, Cục Công nghệ thông tin thực hiện cấp mã ngân hàng, gửi kết quả cho đơn vị đề nghị và có Thông báo điện tử về việc cấp mã ngân hàng trên Cổng Dịch vụ công Ngân hàng Nhà nước theo Phụ lục số 05 ban hành kèm theo Thông tư 17/2015/TT-NHNN; Trường hợp từ chối cấp mã ngân hàng, Cục Công nghệ thông tin thông báo lý do từ chối cho đơn vị đề nghị cấp mã theo phương thức đơn vị gửi hồ sơ đề nghị cấp mã.",17/2015/TT-NHNN,1,answerable,evaluate
